id,code,name,type,parent_id:id,user_type:id
pcg_m14_0,0,PLAN COMPTABLE M14,view,,l10n_fr_m14.fr_pcg_m14_default_type
pcg_m14_10,10,"DOTATIONS, FONDS DIVERS ET RESERVES",view,l10n_fr_m14.pcg_m14_0,l10n_fr_m14.fr_pcg_m14_default_type
pcg_m14_102,102,Dotations et fonds globalisés d’investissement,view,l10n_fr_m14.pcg_m14_10,l10n_fr_m14.fr_pcg_m14_default_type
pcg_m14_1021,1021,Dotation,other,l10n_fr_m14.pcg_m14_102,l10n_fr_m14.fr_pcg_m14_default_type
pcg_m14_1022,1022,Fonds globalisés d’investissement,view,l10n_fr_m14.pcg_m14_102,l10n_fr_m14.fr_pcg_m14_default_type
pcg_m14_10222,10222,F.C.T.V.A.,other,l10n_fr_m14.pcg_m14_1022,l10n_fr_m14.fr_pcg_m14_default_type
pcg_m14_10223,10223,T.L.E.,other,l10n_fr_m14.pcg_m14_1022,l10n_fr_m14.fr_pcg_m14_default_type
pcg_m14_10224,10224,Versements pour dépassement du plafond légal de densité (P.L.D.),other,l10n_fr_m14.pcg_m14_1022,l10n_fr_m14.fr_pcg_m14_default_type
pcg_m14_10225,10225,Participations en cas de dépassement du coefficient d’occupation du sol (C.O.S.),other,l10n_fr_m14.pcg_m14_1022,l10n_fr_m14.fr_pcg_m14_default_type
pcg_m14_10226,10226,Taxe d’aménagement et versement pour sous-densité,other,l10n_fr_m14.pcg_m14_1022,l10n_fr_m14.fr_pcg_m14_default_type
pcg_m14_10228,10228,Autres fonds globalisés,other,l10n_fr_m14.pcg_m14_1022,l10n_fr_m14.fr_pcg_m14_default_type
pcg_m14_10229,10229,Reprise sur F.C.T.V.A. et autres fonds globalisés,view,l10n_fr_m14.pcg_m14_1022,l10n_fr_m14.fr_pcg_m14_default_type
pcg_m14_102291,102291,Reprise sur F.C.T.V.A.,other,l10n_fr_m14.pcg_m14_10229,l10n_fr_m14.fr_pcg_m14_default_type
pcg_m14_102296,102296,Reprise sur taxe d'aménagement et versement pour sous-densité,other,l10n_fr_m14.pcg_m14_10229,l10n_fr_m14.fr_pcg_m14_default_type
pcg_m14_102298,102298,Reprise sur autres fonds globalisés,other,l10n_fr_m14.pcg_m14_10229,l10n_fr_m14.fr_pcg_m14_default_type
pcg_m14_1025,1025,Dons et legs en capital,view,l10n_fr_m14.pcg_m14_102,l10n_fr_m14.fr_pcg_m14_default_type
pcg_m14_10251,10251,Dons et legs en capital,other,l10n_fr_m14.pcg_m14_1025,l10n_fr_m14.fr_pcg_m14_default_type
pcg_m14_10259,10259,Reprise sur dons et legs en capital,other,l10n_fr_m14.pcg_m14_1025,l10n_fr_m14.fr_pcg_m14_default_type
pcg_m14_1027,1027,Mise à disposition (chez le bénéficiaire ),other,l10n_fr_m14.pcg_m14_102,l10n_fr_m14.fr_pcg_m14_default_type
pcg_m14_106,106,Réserves,view,l10n_fr_m14.pcg_m14_10,l10n_fr_m14.fr_pcg_m14_default_type
pcg_m14_1068,1068,Excédents de fonctionnement capitalisés,other,l10n_fr_m14.pcg_m14_106,l10n_fr_m14.fr_pcg_m14_default_type
pcg_m14_1069,1069,Reprise 1997 sur les excédents capitalisés - Neutralisation de l’excédent des charges sur les produits,other,l10n_fr_m14.pcg_m14_106,l10n_fr_m14.fr_pcg_m14_default_type
pcg_m14_11,11,REPORT A NOUVEAU (solde créditeur ou débiteur),view,l10n_fr_m14.pcg_m14_0,l10n_fr_m14.fr_pcg_m14_default_type
pcg_m14_110,110,Report à nouveau (solde créditeur),other,l10n_fr_m14.pcg_m14_11,l10n_fr_m14.fr_pcg_m14_default_type
pcg_m14_119,119,Report à nouveau (solde débiteur),other,l10n_fr_m14.pcg_m14_11,l10n_fr_m14.fr_pcg_m14_default_type
pcg_m14_12,12,RÉSULTAT DE L'EXERCICE (excédentaire ou déficitaire),other,l10n_fr_m14.pcg_m14_0,l10n_fr_m14.fr_pcg_m14_default_type
pcg_m14_13,13,SUBVENTIONS D'INVESTISSEMENT,view,l10n_fr_m14.pcg_m14_0,l10n_fr_m14.fr_pcg_m14_default_type
pcg_m14_131,131,Subventions d'équipement transférables,view,l10n_fr_m14.pcg_m14_13,l10n_fr_m14.fr_pcg_m14_default_type
pcg_m14_1311,1311,État et établissements nationaux,other,l10n_fr_m14.pcg_m14_131,l10n_fr_m14.fr_pcg_m14_default_type
pcg_m14_1312,1312,Régions,other,l10n_fr_m14.pcg_m14_131,l10n_fr_m14.fr_pcg_m14_default_type
pcg_m14_1313,1313,Départements,other,l10n_fr_m14.pcg_m14_131,l10n_fr_m14.fr_pcg_m14_default_type
pcg_m14_1314,1314,Communes,view,l10n_fr_m14.pcg_m14_131,l10n_fr_m14.fr_pcg_m14_default_type
pcg_m14_13141,13141,Communes membres du GFP,other,l10n_fr_m14.pcg_m14_1314,l10n_fr_m14.fr_pcg_m14_default_type
pcg_m14_13148,13148,Autres communes,other,l10n_fr_m14.pcg_m14_1314,l10n_fr_m14.fr_pcg_m14_default_type
pcg_m14_1315,1315,Groupements de collectivités,view,l10n_fr_m14.pcg_m14_131,l10n_fr_m14.fr_pcg_m14_default_type
pcg_m14_13151,13151,GFP de rattachement,other,l10n_fr_m14.pcg_m14_1315,l10n_fr_m14.fr_pcg_m14_default_type
pcg_m14_13158,13158,Autres groupements,other,l10n_fr_m14.pcg_m14_1315,l10n_fr_m14.fr_pcg_m14_default_type
pcg_m14_1316,1316,Autres établissements publics locaux,other,l10n_fr_m14.pcg_m14_131,l10n_fr_m14.fr_pcg_m14_default_type
pcg_m14_1317,1317,Budget communautaire et fonds structurels,other,l10n_fr_m14.pcg_m14_131,l10n_fr_m14.fr_pcg_m14_default_type
pcg_m14_1318,1318,Autres,other,l10n_fr_m14.pcg_m14_131,l10n_fr_m14.fr_pcg_m14_default_type
pcg_m14_132,132,Subventions d'équipement non transférables,view,l10n_fr_m14.pcg_m14_13,l10n_fr_m14.fr_pcg_m14_default_type
pcg_m14_1321,1321,État et établissements nationaux,other,l10n_fr_m14.pcg_m14_132,l10n_fr_m14.fr_pcg_m14_default_type
pcg_m14_1322,1322,Régions,other,l10n_fr_m14.pcg_m14_132,l10n_fr_m14.fr_pcg_m14_default_type
pcg_m14_1323,1323,Départements,other,l10n_fr_m14.pcg_m14_132,l10n_fr_m14.fr_pcg_m14_default_type
pcg_m14_1324,1324,Communes,view,l10n_fr_m14.pcg_m14_132,l10n_fr_m14.fr_pcg_m14_default_type
pcg_m14_13241,13241,Communes membres du GFP,other,l10n_fr_m14.pcg_m14_1324,l10n_fr_m14.fr_pcg_m14_default_type
pcg_m14_13248,13248,Autres communes,other,l10n_fr_m14.pcg_m14_1324,l10n_fr_m14.fr_pcg_m14_default_type
pcg_m14_1325,1325,Groupements de collectivités,view,l10n_fr_m14.pcg_m14_132,l10n_fr_m14.fr_pcg_m14_default_type
pcg_m14_13251,13251,GFP de rattachement,other,l10n_fr_m14.pcg_m14_1325,l10n_fr_m14.fr_pcg_m14_default_type
pcg_m14_13258,13258,Autres groupements,other,l10n_fr_m14.pcg_m14_1325,l10n_fr_m14.fr_pcg_m14_default_type
pcg_m14_1326,1326,Autres établissements publics locaux,other,l10n_fr_m14.pcg_m14_132,l10n_fr_m14.fr_pcg_m14_default_type
pcg_m14_1327,1327,Budget communautaire et fonds structurels,other,l10n_fr_m14.pcg_m14_132,l10n_fr_m14.fr_pcg_m14_default_type
pcg_m14_1328,1328,Autres,other,l10n_fr_m14.pcg_m14_132,l10n_fr_m14.fr_pcg_m14_default_type
pcg_m14_133,133,Fonds affectés à l’équipement transférables,view,l10n_fr_m14.pcg_m14_13,l10n_fr_m14.fr_pcg_m14_default_type
pcg_m14_1331,1331,Dotation d’équipement des territoires ruraux,other,l10n_fr_m14.pcg_m14_133,l10n_fr_m14.fr_pcg_m14_default_type
pcg_m14_1332,1332,Amendes de police,other,l10n_fr_m14.pcg_m14_133,l10n_fr_m14.fr_pcg_m14_default_type
pcg_m14_1333,1333,P.A.E. (Programme d’Aménagement d’Ensemble),other,l10n_fr_m14.pcg_m14_133,l10n_fr_m14.fr_pcg_m14_default_type
pcg_m14_1334,1334,Surtaxes locales temporaires,other,l10n_fr_m14.pcg_m14_133,l10n_fr_m14.fr_pcg_m14_default_type
pcg_m14_1335,1335,Participations pour non réalisation d’aires de stationnement,other,l10n_fr_m14.pcg_m14_133,l10n_fr_m14.fr_pcg_m14_default_type
pcg_m14_1336,1336,Participations pour voirie et réseaux,other,l10n_fr_m14.pcg_m14_133,l10n_fr_m14.fr_pcg_m14_default_type
pcg_m14_1338,1338,Autres,other,l10n_fr_m14.pcg_m14_133,l10n_fr_m14.fr_pcg_m14_default_type
pcg_m14_134,134,Fonds affectés à l’équipement non transférables,view,l10n_fr_m14.pcg_m14_13,l10n_fr_m14.fr_pcg_m14_default_type
pcg_m14_1341,1341,Dotation d’équipement des territoires ruraux,other,l10n_fr_m14.pcg_m14_134,l10n_fr_m14.fr_pcg_m14_default_type
pcg_m14_1342,1342,Amendes de police,other,l10n_fr_m14.pcg_m14_134,l10n_fr_m14.fr_pcg_m14_default_type
pcg_m14_1343,1343,P.A.E. (Programme d’Aménagement d’Ensemble),other,l10n_fr_m14.pcg_m14_134,l10n_fr_m14.fr_pcg_m14_default_type
pcg_m14_1344,1344,Surtaxes locales temporaires,other,l10n_fr_m14.pcg_m14_134,l10n_fr_m14.fr_pcg_m14_default_type
